prior_std,recovered_prior_std,likelihood_std,recovered_likelihood_std (with prior),recovered_likelihood_std (without prior),initial_nll (with prior),recovered_nll (with prior),recovered_nll (without prior),AIC (with prior),AIC (without prior),BIC (with prior),BIC (without prior)
11,10.602871442810494,4,3.900622689407013,3.9019225728754097,108.69308560999086,108.66436515431624,111.21631760010612,221.3287303086325,224.43263520021225,224.70648921686035,226.12151465432618
9,9.47621580400041,11,11.861661427488633,8.995836927854802,136.99538945867698,136.836598273389,144.6279973244432,277.673196546778,291.2559946488864,281.05095545500586,292.9448741030003
2,2.284207778194334,17,6.804871922592402,3.078148456300077,88.2097826149843,87.66295393609991,101.73067634755719,179.32590787219982,205.46135269511439,182.70366678042768,207.15023214922832
10,10.587178175602439,17,11.605768163626166,10.678250360452694,141.2430727759281,139.03325222128632,151.48589576772886,282.06650444257264,304.9717915354577,285.4442633508005,306.66067098957166
10,9.252258446540571,17,14.475864615698095,11.492387305534095,139.3205367728682,138.9015872039788,154.42494017792143,281.8031744079576,310.84988035584286,285.1809333161855,312.5387598099568
12,9.960168518128704,2,1.8626309885827785,1.8708285515996206,81.19229966742304,80.94968380313107,81.81280069809449,165.89936760626213,165.62560139618898,169.27712651449,167.3144808503029
2,2.334519106850722,12,7.003614987317463,2.554407977038046,89.19642879655217,88.56264318859638,94.27036039236205,181.12528637719277,190.5407207847241,184.50304528542063,192.22960023883803
12,14.28000864252129,3,2.864698005582496,2.850438591032746,98.26731821636038,98.06694991247613,98.65645589250295,200.13389982495227,199.3129117850059,203.51165873318013,201.00179123911983
14,9.9581764403225,2,1.4226625925107206,1.440486450730287,74.19922134300984,70.45469970485175,71.35676440184358,144.9093994097035,144.71352880368715,148.28715831793136,146.40240825780108
14,8.160901301491382,4,3.761782570907614,4.198213784234828,109.02899830820346,105.89995908686286,114.14390830215358,215.79991817372573,230.28781660430715,219.1776770819536,231.97669605842108
14,14.320887658818963,14,12.060821321579187,10.16612049818345,145.98112559547587,145.6346212036761,149.5199670503504,295.2692424073522,301.0399341007008,298.64700131558004,302.72881355481474
15,20.201909001466657,12,12.686103760770958,11.514120600744278,153.11421513881135,151.7294718582865,154.50051155809672,307.458943716573,311.00102311619344,310.83670262480086,312.68990257030737
17,18.614796222075462,7,7.69710571924769,7.436397211949635,135.61395852508764,135.2344941549838,137.01299949875272,274.4689883099676,276.02599899750544,277.84674721819545,277.71487845161937
3,2.6125671298989492,13,203.96652530739854,4.024922248227931,95.70602776605068,95.16943703583603,112.45776617295371,194.33887407167205,226.91553234590742,197.7166329798999,228.60441180002135
18,15.43882826419706,6,5.989882229816578,5.930851589486764,125.70728385822666,125.55606200529166,127.96425338819597,255.11212401058333,257.92850677639194,258.4898829188112,259.6173862305059
8,7.25472314112816,14,14.141349460835135,9.59036485447347,131.6034426413128,131.3509661191057,147.18787734801407,266.7019322382114,296.37575469602814,270.07969114643925,298.06463415014207
