subjID,oriRef2,prior_std,likelihood_std,likelihood_std_no_prior,nll_prior,nll_no_prior,AIC (with prior),AIC (without prior),BIC (with prior),BIC (without prior)
13,0,634.9147273184007,3.2429005392311994,3.2428583413781715,80.45760914230216,80.45720227100914,164.91521828460432,162.91440454201827,167.78319269357462,164.3483917465034
13,45,699.6787331023274,6.482666903513017,6.482821293987709,121.66016852364046,121.65951460001736,247.32033704728093,245.31902920003472,250.54217287256938,246.92994711267895
13,90,2201.7267470391744,3.7379475930716852,3.737943638971999,98.54919499453936,98.54906936495357,201.09838998907873,199.09813872990713,204.26542786599094,200.68165766836324
13,135,610.9509563772606,4.635401986509355,4.635268277050143,103.34238715218687,103.3421432552211,210.68477430437375,208.6842865104422,213.79547042735257,210.23963457193162
14,0,566.5662433108938,3.424225867295494,3.4241794875196176,105.9922756107712,105.99200761483571,215.9845512215424,213.98401522967143,219.36231012977026,215.67289468378536
14,45,72.06472771022443,7.926140675165203,7.8788981545399,135.84027748839364,135.84190185577864,275.6805549767873,273.6838037115573,279.00767826904655,275.34736535768695
14,90,19.54451933185955,2.8606601349031466,2.8329572982476465,95.91071909595665,95.95011291099264,195.8214381919133,193.9002258219853,199.1485614841726,195.56378746811492
14,135,3624.0237190778907,5.949798196284467,5.949790078364128,128.09178481223304,128.0917777309815,260.1835696244661,258.183555461963,263.56132853269395,259.87243491607694
15,0,368.0630048643353,3.488919480554347,3.488758598969108,93.39729354017882,93.39694614581654,190.79458708035764,188.79389229163309,193.90528320333647,190.3492403531225
15,45,595.9676833795816,6.199017633834538,6.199669902360446,126.49431394338637,126.49394390845536,256.98862788677275,254.98788781691073,260.315751179032,256.65144946304036
15,90,1278.9214564600102,3.33245736692182,3.33245730846642,99.66076575737824,99.66062819366608,203.3215315147565,201.32125638733217,206.59670383420925,202.95884254705857
15,135,1239.75282783263,6.139325567347847,6.139407546906897,126.11331949825367,126.11299545102543,256.22663899650735,254.22599090205085,259.5537622887666,255.8895525481805
